"meter","KW","timestamp","V","A","model","space","isworkday","centigrade","people","KWH"
"489190910749","0.000","1616481420000","227.600","0.000","42","60","是","19","4","1.970"
"489190910749","0.000","1616481360000","227.400","0.000","42","60","是","19","4","1.970"
"489190910749","0.000","1616481300000","227.600","0.000","42","60","是","19","4","1.970"
"489190910749","0.000","1616481240000","227.500","0.000","42","60","是","19","4","1.970"
"489190910749","0.000","1616481180000","227.300","0.000","42","60","是","19","4","1.970"
"489190910749","0.000","1616480940000","227.100","0.000","42","60","是","19","4","1.970"
"489190910749","0.000","1616480880000","227.300","0.000","42","60","是","19","4","1.970"
"489190910749","0.000","1616480820000","227.300","0.000","42","60","是","19","4","1.970"
"489190910749","0.000","1616480760000","227.400","0.000","42","60","是","19","4","1.970"
"489190910749","0.000","1616480700000","227.300","0.000","42","60","是","19","4","1.970"
"489190910749","0.000","1616480520000","227.300","0.000","42","60","是","19","4","1.970"
"489190910749","0.000","1616480460000","226.900","0.000","42","60","是","19","4","1.970"
"489190910749","0.000","1616480400000","226.900","0.000","42","60","是","19","4","1.970"
"489190910749","0.000","1616480340000","227.200","0.000","42","60","是","19","4","1.970"
"489190910749","0.000","1616480280000","227.300","0.000","42","60","是","19","4","1.970"
"489190910749","0.000","1616480160000","227.300","0.000","42","60","是","19","4","1.970"
"489190910749","0.000","1616480040000","227.400","0.000","42","60","是","19","4","1.970"
"489190910749","0.000","1616479980000","226.900","0.000","42","60","是","19","4","1.970"
"489190910749","0.000","1616479920000","226.300","0.000","42","60","是","19","4","1.970"
"489190910749","0.000","1616479860000","226.300","0.000","42","60","是","19","4","1.970"
"489190910749","0.000","1616479800000","226.400","0.000","42","60","是","19","4","1.970"
"489190910749","0.000","1616479740000","226.600","0.000","42","60","是","19","4","1.970"
"489190910749","0.000","1616479560000","227.200","0.000","42","60","是","19","4","1.970"
"489190910749","0.000","1616479500000","227.300","0.000","42","60","是","19","4","1.970"
"489190910749","0.000","1616479440000","227.200","0.000","42","60","是","19","4","1.970"
"489190910749","0.000","1616479380000","227.400","0.000","42","60","是","19","4","1.970"
"489190910749","0.000","1616479320000","226.700","0.000","42","60","是","19","4","1.970"
"489190910749","0.000","1616479260000","226.900","0.000","42","60","是","19","4","1.970"
"489190910749","0.000","1616479080000","226.600","0.000","42","60","是","19","4","1.970"
