"meter","KW","timestamp","V","A","model","space","isworkday","centigrade","people","KWH"
"489190910750","0.000","1617152280000","224.800","0.000","49","60","是","12","4","19.770"
"489190910750","0.000","1617152220000","224.900","0.000","49","60","是","12","4","19.770"
"489190910750","0.000","1617152160000","224.700","0.000","49","60","是","12","4","19.770"
"489190910750","0.000","1617152100000","224.600","0.000","49","60","是","12","4","19.770"
"489190910750","0.000","1617151920000","224.900","0.000","49","60","是","12","4",\N
"489190910750","0.000","1617151860000","224.700","0.000","49","60","是","12","4","19.770"
"489190910750","0.000","1617151800000","224.900","0.000","49","60","是","12","4","19.770"
"489190910750","0.000","1617151740000","224.800","0.000","49","60","是","12","4","19.770"
"489190910750","0.000","1617151680000","224.700","0.000","49","60","是","12","4","19.770"
"489190910750","0.000","1617151620000","224.700","0.000","49","60","是","12","4","19.770"
"489190910750","0.000","1617151440000","225.600","0.000","49","60","是","23","4",\N
"489190910750","0.000","1617151380000","225.700","0.000","49","60","是","23","4","19.770"
"489190910750","0.000","1617151320000","225.700","0.000","49","60","是","23","4","19.770"
"489190910750","0.000","1617151260000","225.700","0.000","49","60","是","23","4","19.770"
"489190910750","0.000","1617151200000","225.400","0.000","49","60","是","23","4","19.770"
"489190910750","0.000","1617151140000","225.600","0.000","49","60","是","23","4","19.770"
"489190910750","0.000","1617150960000","225.500","0.000","49","60","是","23","4",\N
"489190910750","0.000","1617150900000","225.700","0.000","49","60","是","23","4","19.770"
"489190910750","0.000","1617150840000","225.800","0.000","49","60","是","23","4","19.770"
"489190910750","0.000","1617150780000","226.200","0.000","49","60","是","23","4","19.770"
"489190910750","0.000","1617150720000","226.200","0.000","49","60","是","23","4","19.770"
"489190910750","0.000","1617150660000","226.300","0.000","49","60","是","23","4","19.770"
"489190910750","0.000","1617150480000","226.400","0.000","49","60","是","23","4",\N
"489190910750","0.000","1617150420000","226.400","0.000","49","60","是","23","4","19.770"
"489190910750","0.000","1617150360000","225.700","0.000","49","60","是","23","4","19.770"
"489190910750","0.000","1617150300000","225.500","0.000","49","60","是","23","4","19.770"
"489190910750","0.000","1617150240000","225.400","0.000","49","60","是","23","4","19.770"
"489190910750","0.000","1617150180000","225.400","0.000","49","60","是","23","4","19.770"
"489190910750","0.000","1617150000000","226.200","0.000","49","60","是","23","4",\N
"489190910750","0.000","1617149940000","226.200","0.000","49","60","是","23","4","19.770"
"489190910750","0.000","1617149880000","226.000","0.000","49","60","是","23","4","19.770"
"489190910750","0.000","1617149820000","226.000","0.000","49","60","是","23","4","19.770"
"489190910750","0.000","1617149760000","226.000","0.000","49","60","是","23","4","19.770"
