"meter","KW","timestamp","V","A","model","space","isworkday","centigrade","people","KWH"
"489190910751","0.000","1616567640000","225.300","0.000","7","60","是","19","4","3.060"
"489190910751","0.000","1616567580000","225.400","0.000","7","60","是","19","4","3.060"
"489190910751","0.000","1616567520000","225.600","0.000","7","60","是","19","4","3.060"
"489190910751","0.000","1616567340000","225.800","0.015","7","60","是","19","4","3.060"
"489190910751","0.000","1616567100000","225.500","0.000","7","60","是","19","4","3.060"
"489190910751","0.000","1616567040000","225.500","0.476","7","60","是","19","4","3.060"
"489190910751","0.000","1616566860000","225.400","0.469","7","60","是","19","4","3.060"
"489190910751","0.000","1616566800000","225.600","0.469","7","60","是","19","4","3.060"
"489190910751","0.000","1616566740000","225.100","0.468","7","60","是","19","4","3.060"
"489190910751","0.000","1616566680000","225.400","0.470","7","60","是","19","4","3.060"
"489190910751","0.000","1616566560000","225.600","0.470","7","60","是","19","4","3.060"
"489190910751","0.000","1616566380000","225.400","0.470","7","60","是","19","4","3.060"
"489190910751","0.000","1616566320000","225.100","0.469","7","60","是","19","4","3.060"
"489190910751","0.000","1616566260000","225.100","0.469","7","60","是","19","4","3.060"
"489190910751","0.000","1616566200000","225.300","0.468","7","60","是","19","4","3.060"
"489190910751","0.000","1616566140000","225.100","0.469","7","60","是","19","4","3.060"
"489190910751","0.000","1616566080000","225.300","0.468","7","60","是","19","4","3.060"
"489190910751","0.000","1616565900000","225.500","0.468","7","60","是","19","4","3.060"
"489190910751","0.000","1616565840000","225.400","0.469","7","60","是","19","4","3.060"
"489190910751","0.000","1616565780000","225.200","0.469","7","60","是","19","4","3.060"
"489190910751","0.000","1616565720000","225.400","0.468","7","60","是","19","4","3.060"
"489190910751","0.000","1616565660000","225.300","0.469","7","60","是","19","4","3.060"
"489190910751","0.000","1616565540000","225.800","0.470","7","60","是","19","4","3.060"
"489190910751","0.000","1616565420000","225.500","0.469","7","60","是","19","4","3.060"
"489190910751","0.000","1616565360000","225.500","0.470","7","60","是","19","4","3.060"
"489190910751","0.000","1616565300000","225.500","0.470","7","60","是","19","4","3.060"
"489190910751","0.000","1616565240000","225.700","0.471","7","60","是","19","4","3.060"
"489190910751","0.000","1616565180000","225.500","0.470","7","60","是","19","4","3.060"
"489190910751","0.000","1616565000000","225.400","0.469","7","60","是","19","4","3.060"
"489190910751","0.000","1616564940000","225.100","0.468","7","60","是","19","4","3.060"
"489190910751","0.000","1616564880000","225.500","0.469","7","60","是","19","4","3.060"
"489190910751","0.000","1616564820000","225.500","0.469","7","60","是","19","4","3.060"
"489190910751","0.000","1616564760000","225.500","0.469","7","60","是","19","4","3.060"
"489190910751","0.000","1616564640000","225.500","0.469","7","60","是","19","4","3.060"
"489190910751","0.000","1616564520000","224.500","0.466","7","60","是","19","4","3.060"
"489190910751","0.000","1616564460000","224.600","0.466","7","60","是","19","4","3.060"
"489190910751","0.000","1616564400000","225.200","0.468","7","60","是","19","4","3.060"
"489190910751","0.000","1616564340000","225.500","0.468","7","60","是","19","4","3.060"
"489190910751","0.000","1616564280000","225.100","0.467","7","60","是","19","4","3.060"
"489190910751","0.000","1616564220000","225.500","0.470","7","60","是","19","4","3.060"
"489190910751","0.000","1616563980000","225.800","0.469","7","60","是","19","4","3.060"
"489190910751","0.000","1616563920000","225.400","0.469","7","60","是","19","4","3.060"
"489190910751","0.000","1616563860000","225.700","0.470","7","60","是","19","4","3.060"
"489190910751","0.000","1616563740000","225.300","0.468","7","60","是","19","4","3.060"
"489190910751","0.000","1616563680000","225.400","0.468","7","60","是","19","4","3.060"
"489190910751","0.000","1616563500000","225.000","0.468","7","60","是","19","4","3.060"
"489190910751","0.000","1616563440000","224.900","0.471","7","60","是","19","4","3.060"
"489190910751","0.000","1616563380000","224.700","0.468","7","60","是","19","4","3.060"
"489190910751","0.000","1616563320000","224.700","0.468","7","60","是","19","4","3.060"
"489190910751","0.000","1616563260000","224.900","0.467","7","60","是","19","4","3.060"
"489190910751","0.000","1616563200000","224.700","0.467","7","60","是","19","4","3.060"
"489190910751","0.000","1616563020000","224.500","0.466","7","60","是","19","4","3.060"
"489190910751","0.000","1616562960000","224.700","0.467","7","60","是","19","4","3.060"
"489190910751","0.000","1616562840000","225.500","0.469","7","60","是","19","4","3.060"
"489190910751","0.000","1616562780000","225.100","0.469","7","60","是","19","4","3.060"
"489190910751","0.000","1616562720000","225.400","0.470","7","60","是","19","4","3.060"
"489190910751","0.000","1616562540000","225.400","0.469","7","60","是","19","4","3.060"
"489190910751","0.000","1616562480000","225.100","0.468","7","60","是","19","4","3.060"
"489190910751","0.000","1616562420000","225.300","0.469","7","60","是","19","4","3.060"
"489190910751","0.000","1616562360000","225.800","0.469","7","60","是","19","4","3.060"
"489190910751","0.000","1616562300000","225.400","0.469","7","60","是","19","4","3.060"
"489190910751","0.000","1616562120000","225.200","0.467","7","60","是","19","4","3.060"
"489190910751","0.000","1616562060000","224.900","0.468","7","60","是","19","4","3.060"
"489190910751","0.000","1616561940000","225.100","0.468","7","60","是","19","4","3.060"
"489190910751","0.000","1616561880000","225.100","0.468","7","60","是","19","4","3.060"
"489190910751","0.000","1616561820000","225.000","0.467","7","60","是","19","4","3.060"
"489190910751","0.000","1616561640000","225.000","0.469","7","60","是","19","4","3.060"
"489190910751","0.000","1616561580000","225.100","0.468","7","60","是","19","4","3.060"
"489190910751","0.000","1616561520000","224.400","0.469","7","60","是","19","4","3.060"
"489190910751","0.000","1616561460000","224.800","0.468","7","60","是","19","4","3.060"
"489190910751","0.000","1616561400000","224.900","0.469","7","60","是","19","4","3.060"
"489190910751","0.000","1616561340000","225.000","0.468","7","60","是","19","4","3.060"
"489190910751","0.000","1616561160000","224.400","0.467","7","60","是","19","4","3.060"
"489190910751","0.000","1616561040000","224.400","0.467","7","60","是","19","4","3.060"
"489190910751","0.000","1616560980000","224.300","0.467","7","60","是","19","4","3.060"
"489190910751","0.000","1616560920000","224.100","0.467","7","60","是","19","4","3.060"
"489190910751","0.000","1616560860000","225.000","0.469","7","60","是","19","4","3.060"
"489190910751","0.000","1616560680000","225.100","0.469","7","60","是","19","4","3.060"
"489190910751","0.000","1616560620000","224.600","0.467","7","60","是","19","4","3.060"
"489190910751","0.000","1616560560000","225.000","0.469","7","60","是","19","4","3.060"
"489190910751","0.000","1616560500000","225.100","0.468","7","60","是","19","4","3.060"
"489190910751","0.000","1616560440000","224.600","0.469","7","60","是","19","4","3.060"
"489190910751","0.000","1616560380000","224.500","0.467","7","60","是","19","4","3.060"
"489190910751","0.000","1616560140000","224.900","0.470","7","60","是","19","4","3.060"
"489190910751","0.000","1616560080000","224.900","0.469","7","60","是","19","4","3.060"
"489190910751","0.000","1616560020000","224.600","0.467","7","60","是","19","4","3.060"
"489190910751","0.000","1616559960000","224.400","0.468","7","60","是","19","4","3.060"
"489190910751","0.000","1616559900000","225.100","0.469","7","60","是","19","4","3.060"
"489190910751","0.000","1616559720000","224.900","0.469","7","60","是","19","4","3.060"
"489190910751","0.000","1616559660000","225.400","0.469","7","60","是","19","4","3.060"
"489190910751","0.000","1616559600000","225.100","0.470","7","60","是","19","4","3.060"
"489190910751","0.000","1616559540000","224.600","0.468","7","60","是","19","4","3.060"
"489190910751","0.000","1616559480000","224.800","0.468","7","60","是","19","4","3.060"
"489190910751","0.000","1616559360000","225.000","0.469","7","60","是","19","4","3.060"
"489190910751","0.000","1616559180000","225.300","0.469","7","60","是","19","4","3.060"
"489190910751","0.000","1616559120000","225.200","0.469","7","60","是","19","4","3.060"
"489190910751","0.000","1616559060000","225.400","0.469","7","60","是","19","4","3.060"
"489190910751","0.000","1616559000000","225.500","0.470","7","60","是","19","4","3.060"
"489190910751","0.000","1616558940000","224.800","0.469","7","60","是","19","4","3.060"
"489190910751","0.000","1616558760000","225.100","0.468","7","60","是","19","4","3.060"
"489190910751","0.000","1616558700000","224.900","0.468","7","60","是","19","4","3.060"
"489190910751","0.000","1616558640000","225.000","0.468","7","60","是","19","4","3.060"
"489190910751","0.000","1616558580000","224.900","0.468","7","60","是","19","4","3.060"
"489190910751","0.000","1616558520000","225.100","0.468","7","60","是","19","4","3.060"
"489190910751","0.000","1616558460000","225.000","0.468","7","60","是","19","4","3.060"
"489190910751","0.000","1616558280000","225.100","0.468","7","60","是","19","4","3.060"
"489190910751","0.000","1616558220000","224.700","0.467","7","60","是","19","4","3.060"
"489190910751","0.000","1616558160000","224.500","0.467","7","60","是","19","4","3.060"
"489190910751","0.000","1616558100000","224.600","0.468","7","60","是","19","4","3.060"
"489190910751","0.000","1616558040000","224.500","0.467","7","60","是","19","4","3.060"
"489190910751","0.000","1616557980000","224.600","0.469","7","60","是","19","4","3.060"
"489190910751","0.000","1616557800000","224.400","0.467","7","60","是","19","4","3.060"
